zc_fd_imag,ac_fd_real
2188d8,212860
d7e34b,18ccad
ef50bf,d3e409
2e1390,f5f3b0
055168,2edbc7
d0ea7c,02a9cb
fdde76,d0e38d
2f0307,fc45fb
076e13,2e9201
d2b5d3,0d2594
eb66b9,d593c5
250f4b,e2d5da
25b599,1c51d5
f05108,2c799c
d0d7fd,00886e
ed56db,d4b094
1f3603,dca57d
2dd66a,0b163b
0da862,2d2368
e19891,240cc5
d0fcf9,fc45fb
e5dae8,d8c062
0ca258,d29088
29b340,e9f9a4
2d4a2d,0d2594
194050,27d44f
faae98,2edbc7
dfff7e,22a3a1
d22996,0b163b
d304d8,f1d542
df392e,de17c8
f1535d,d32e90
0441f6,d10885
149947,d593c5
20c6d2,de17c8
28a990,e81d03
2cfb28,f1d542
2ecba0,fa2720
2f2803,00886e
2eea65,04c9c3
2ea6bd,06e73a
2ea6bd,06e73a
2eea65,04c9c3
2f2803,00886e
2ecba0,fa2720
2cfb28,f1d542
28a990,e81d03
20c6d2,de17c8
149947,d593c5
0441f6,d10885
f1535d,d32e90
df392e,de17c8
d304d8,f1d542
d22996,0b163b
dfff7e,22a3a1
faae98,2edbc7
194050,27d44f
2d4a2d,0d2594
29b340,e9f9a4
0ca258,d29088
e5dae8,d8c062
d0fcf9,fc45fb
e19891,240cc5
0da862,2d2368
2dd66a,0b163b
1f3603,dca57d
ed56db,d4b094
d0d7fd,00886e
f05108,2c799c
25b599,1c51d5
250f4b,e2d5da
eb66b9,d593c5
d2b5d3,0d2594
076e13,2e9201
2f0307,fc45fb
fdde76,d0e38d
d0ea7c,02a9cb
055168,2edbc7
2e1390,f5f3b0
ef50bf,d3e409
d7e34b,18ccad
2188d8,212860
167ea3,d68d26
d18440,f80b53
0986db,2e2fe0
2656fa,e48a2f
d64cc0,e9f9a4
0110d7,2f25b3
278a9c,e64ce1
d47b4d,edd474
0b9aa7,2db598
1be448,d9f917
d1159b,04c9c3
246423,1dfea6
f99fd8,d1460e
e6bfb0,27d44f
2c4b83,efd0a0
d26cb9,f3e14e
200082,22a3a1
f56e8e,d20a43
f46559,2db598
1d94e2,db45af
d6cee7,16f62d
2e7bc0,f80b53
d13460,fa2720
2beafa,112e96
d87564,e64ce1
22ffa5,1f9bc7
e0c9fd,dca57d
1cbe76,25630e
e41bb8,d9f917
1cbe76,25630e
e0c9fd,dca57d
22ffa5,1f9bc7
d87564,e64ce1
2beafa,112e96
d13460,fa2720
2e7bc0,f80b53
d6cee7,16f62d
1d94e2,db45af
f46559,2db598
f56e8e,d20a43
200082,22a3a1
d26cb9,f3e14e
2c4b83,efd0a0
e6bfb0,27d44f
f99fd8,d1460e
246423,1dfea6
d1159b,04c9c3
1be448,d9f917
0b9aa7,2db598
d47b4d,edd474
278a9c,e64ce1
0110d7,2f25b3
d64cc0,e9f9a4
2656fa,e48a2f
0986db,2e2fe0
d18440,f80b53
167ea3,d68d26
2188d8,212860
1b0674,26a5ca
158d5d,29f249
11ad5b,2bb88d
0faef8,2c799c
0faef8,2c799c
11ad5b,2bb88d
158d5d,29f249
1b0674,26a5ca
2188d8,212860
281cb5,18ccad
2d4a2d,0d2594
2f21d8,fe66c9
2b84b3,edd474
20c6d2,de17c8
0eaca3,d32e90
f784fb,d19c07
e0c9fd,dca57d
d26cb9,f3e14e
d41506,112e96
e89309,28ee00
0986db,2e2fe0
26f357,1a9635
2e1390,f5f3b0
167ea3,d68d26
ed56db,d4b094
d1ec70,f5f3b0
de7728,212860
0b9aa7,2db598
2dd66a,0b163b
1d94e2,db45af
e9815d,d68d26
d15943,06e73a
f891ed,2e9201
2b18bb,132622
1be448,d9f917
df392e,de17c8
da4a67,1c51d5
194050,27d44f
28a990,e81d03
e7a7c5,d79c34
d90ca9,1a9635
1e676f,240cc5
1f3603,dca57d
d75670,e81d03
f2579e,2d2368
2f2803,00886e
f1535d,d32e90
db9bdd,1dfea6
2a2ff3,1513aa
000000,d0d738
d6cee7,16f62d
293119,16f62d
fbbe0a,d10885
dd005b,1f9bc7
2ea6bd,06e73a
e5dae8,d8c062
f67925,2e2fe0
2656fa,e48a2f
d0fcf9,fc45fb
22ffa5,1f9bc7
f56e8e,d20a43
f05108,2c799c
23b43a,e130c6
d22996,0b163b
2e4aae,090115
d87564,e64ce1
1cbe76,25630e
ef50bf,d3e409
055168,2edbc7
0441f6,d10885
f46559,2db598
10af41,d3e409
ec5d81,2ae0a1
149947,d593c5
ec5d81,2ae0a1
10af41,d3e409
f46559,2db598
0441f6,d10885
055168,2edbc7
ef50bf,d3e409
1cbe76,25630e
d87564,e64ce1
2e4aae,090115
d22996,0b163b
23b43a,e130c6
f05108,2c799c
f56e8e,d20a43
22ffa5,1f9bc7
d0fcf9,fc45fb
2656fa,e48a2f
f67925,2e2fe0
e5dae8,d8c062
2ea6bd,06e73a
dd005b,1f9bc7
fbbe0a,d10885
293119,16f62d
d6cee7,16f62d
000000,d0d738
2a2ff3,1513aa
db9bdd,1dfea6
f1535d,d32e90
2f2803,00886e
f2579e,2d2368
d75670,e81d03
1f3603,dca57d
1e676f,240cc5
d90ca9,1a9635
e7a7c5,d79c34
28a990,e81d03
194050,27d44f
da4a67,1c51d5
df392e,de17c8
1be448,d9f917
2b18bb,132622
f891ed,2e9201
d15943,06e73a
e9815d,d68d26
1d94e2,db45af
2dd66a,0b163b
0b9aa7,2db598
de7728,212860
d1ec70,f5f3b0
ed56db,d4b094
167ea3,d68d26
2e1390,f5f3b0
26f357,1a9635
0986db,2e2fe0
e89309,28ee00
d41506,112e96
d26cb9,f3e14e
e0c9fd,dca57d
f784fb,d19c07
0eaca3,d32e90
20c6d2,de17c8
2b84b3,edd474
2f21d8,fe66c9
2d4a2d,0d2594
281cb5,18ccad
2188d8,212860
0b9aa7,2db598
f46559,2db598
e19891,240cc5
d5d00d,1513aa
d1159b,04c9c3
d1ec70,f5f3b0
d64cc0,e9f9a4
dc4bc6,e130c6
e26b1e,db45af
e7a7c5,d79c34
eb66b9,d593c5
ed56db,d4b094
ed56db,d4b094
eb66b9,d593c5
e7a7c5,d79c34
e26b1e,db45af
dc4bc6,e130c6
d64cc0,e9f9a4
d1ec70,f5f3b0
d1159b,04c9c3
d5d00d,1513aa
e19891,240cc5
f46559,2db598
0b9aa7,2db598
2188d8,212860
2e4aae,090115
2aa721,ebe1c9
149947,d593c5
f35da8,d29088
d75670,e81d03
d2b5d3,0d2594
ec5d81,2ae0a1
158d5d,29f249
2ea6bd,06e73a
1f3603,dca57d
f1535d,d32e90
d18440,f80b53
e4f98c,26a5ca
194050,27d44f
2e1390,f5f3b0
0441f6,d10885
d3b47d,efd0a0
e6bfb0,27d44f
22ffa5,1f9bc7
23b43a,e130c6
e41bb8,d9f917
d90ca9,1a9635
1b0674,26a5ca
250f4b,e2d5da
df392e,de17c8
e3418a,25630e
2a2ff3,1513aa
0a9172,d20a43
d0ea7c,02a9cb
11ad5b,2bb88d
22467c,df9bce
d47b4d,edd474
0331f5,2f0d0a
278a9c,e64ce1
d558df,ebe1c9
076e13,2e9201
20c6d2,de17c8
d0fcf9,fc45fb
1cbe76,25630e
066028,d1460e
db9bdd,1dfea6
2f2803,00886e
daf0b5,e2d5da
0da862,2d2368
0ca258,d29088
de7728,212860
2cfb28,f1d542
d13460,fa2720
293119,16f62d
e0c9fd,dca57d
13a27f,2ae0a1
f784fb,d19c07
feef29,2f25b3
087b05,d19c07
f2579e,2d2368
10af41,d3e409
ee52a5,2bb88d
10af41,d3e409
f2579e,2d2368
087b05,d19c07
feef29,2f25b3
f784fb,d19c07
13a27f,2ae0a1
e0c9fd,dca57d
293119,16f62d
d13460,fa2720
2cfb28,f1d542
de7728,212860
0ca258,d29088
0da862,2d2368
daf0b5,e2d5da
2f2803,00886e
db9bdd,1dfea6
066028,d1460e
1cbe76,25630e
d0fcf9,fc45fb
20c6d2,de17c8
076e13,2e9201
d558df,ebe1c9
278a9c,e64ce1
0331f5,2f0d0a
d47b4d,edd474
22467c,df9bce
11ad5b,2bb88d
d0ea7c,02a9cb
0a9172,d20a43
2a2ff3,1513aa
e3418a,25630e
df392e,de17c8
250f4b,e2d5da
1b0674,26a5ca
d90ca9,1a9635
e41bb8,d9f917
23b43a,e130c6
22ffa5,1f9bc7
e6bfb0,27d44f
d3b47d,efd0a0
0441f6,d10885
2e1390,f5f3b0
194050,27d44f
e4f98c,26a5ca
d18440,f80b53
f1535d,d32e90
1f3603,dca57d
2ea6bd,06e73a
158d5d,29f249
ec5d81,2ae0a1
d2b5d3,0d2594
d75670,e81d03
f35da8,d29088
149947,d593c5
2aa721,ebe1c9
2e4aae,090115
2188d8,212860
f2579e,2d2368
d22996,0b163b
ddb984,df9bce
066028,d1460e
28a990,e81d03
2ca641,0f2e0d
13a27f,2ae0a1
f05108,2c799c
d6cee7,16f62d
d18440,f80b53
df392e,de17c8
f784fb,d19c07
10af41,d3e409
23b43a,e130c6
2d9347,f3e14e
2ea6bd,06e73a
293119,16f62d
200082,22a3a1
158d5d,29f249
0b9aa7,2db598
0331f5,2f0d0a
fcce0b,2f0d0a
f891ed,2e9201
f67925,2e2fe0
f67925,2e2fe0
f891ed,2e9201
fcce0b,2f0d0a
0331f5,2f0d0a
0b9aa7,2db598
158d5d,29f249
200082,22a3a1
293119,16f62d
2ea6bd,06e73a
2d9347,f3e14e
23b43a,e130c6
10af41,d3e409
f784fb,d19c07
df392e,de17c8
d18440,f80b53
d6cee7,16f62d
f05108,2c799c
13a27f,2ae0a1
2ca641,0f2e0d
28a990,e81d03
066028,d1460e
ddb984,df9bce
d22996,0b163b
f2579e,2d2368
2188d8,212860
2c4b83,efd0a0
02218a,d0e38d
d47b4d,edd474
e19891,240cc5
1b0674,26a5ca
2b84b3,edd474
f56e8e,d20a43
d1159b,04c9c3
0110d7,2f25b3
2f2803,00886e
000000,d0d738
d0ea7c,02a9cb
076e13,2e9201
2cfb28,f1d542
e9815d,d68d26
dd005b,1f9bc7
281cb5,18ccad
0a9172,d20a43
d15943,06e73a
194050,27d44f
18583b,d79c34
d0de28,fe66c9
176cf7,28ee00
149947,d593c5
d1b552,090115
246423,1dfea6
fdde76,d0e38d
dfff7e,22a3a1
2f0307,fc45fb
d9a906,e48a2f
0da862,2d2368
0eaca3,d32e90
db9bdd,1dfea6
2e7bc0,f80b53
d304d8,f1d542
22ffa5,1f9bc7
eb66b9,d593c5
055168,2edbc7
087b05,d19c07
ec5d81,2ae0a1
1be448,d9f917
de7728,212860
250f4b,e2d5da
d90ca9,1a9635
278a9c,e64ce1
d90ca9,1a9635
250f4b,e2d5da
de7728,212860
1be448,d9f917
ec5d81,2ae0a1
087b05,d19c07
055168,2edbc7
eb66b9,d593c5
22ffa5,1f9bc7
d304d8,f1d542
2e7bc0,f80b53
db9bdd,1dfea6
0eaca3,d32e90
0da862,2d2368
d9a906,e48a2f
2f0307,fc45fb
dfff7e,22a3a1
fdde76,d0e38d
246423,1dfea6
d1b552,090115
149947,d593c5
176cf7,28ee00
d0de28,fe66c9
18583b,d79c34
194050,27d44f
d15943,06e73a
0a9172,d20a43
281cb5,18ccad
dd005b,1f9bc7
e9815d,d68d26
2cfb28,f1d542
076e13,2e9201
d0ea7c,02a9cb
000000,d0d738
2f2803,00886e
0110d7,2f25b3
d1159b,04c9c3
f56e8e,d20a43
2b84b3,edd474
1b0674,26a5ca
e19891,240cc5
d47b4d,edd474
02218a,d0e38d
2c4b83,efd0a0
